time,sigma,variable,value,μ
120.72072072072072,5.0,Dead,0.013,25.0
121.02102102102103,5.0,Dead,0.013,25.0
121.32132132132132,5.0,Dead,0.013,25.0
121.62162162162163,5.0,Dead,0.013,25.0
121.92192192192192,5.0,Dead,0.013,25.0
122.22222222222223,5.0,Dead,0.013,25.0
122.52252252252252,5.0,Dead,0.013,25.0
122.82282282282283,5.0,Dead,0.014,25.0
123.12312312312312,5.0,Dead,0.014,25.0
123.42342342342343,5.0,Dead,0.014,25.0
123.72372372372372,5.0,Dead,0.014,25.0
124.02402402402403,5.0,Dead,0.015,25.0
124.32432432432432,5.0,Dead,0.015,25.0
124.62462462462463,5.0,Dead,0.015,25.0
124.92492492492492,5.0,Dead,0.015,25.0
125.22522522522523,5.0,Dead,0.015,25.0
125.52552552552552,5.0,Dead,0.015,25.0
125.82582582582583,5.0,Dead,0.015,25.0
126.12612612612612,5.0,Dead,0.017,25.0
126.42642642642643,5.0,Dead,0.017,25.0
126.72672672672672,5.0,Dead,0.018,25.0
127.02702702702703,5.0,Dead,0.018,25.0
127.32732732732732,5.0,Dead,0.018,25.0
127.62762762762763,5.0,Dead,0.018,25.0
127.92792792792793,5.0,Dead,0.02,25.0
128.22822822822823,5.0,Dead,0.02,25.0
128.52852852852854,5.0,Dead,0.02,25.0
128.82882882882882,5.0,Dead,0.021,25.0
129.12912912912913,5.0,Dead,0.022,25.0
129.42942942942943,5.0,Dead,0.022,25.0
129.72972972972974,5.0,Dead,0.023,25.0
130.03003003003002,5.0,Dead,0.024,25.0
130.33033033033033,5.0,Dead,0.024,25.0
130.63063063063063,5.0,Dead,0.025,25.0
130.93093093093094,5.0,Dead,0.025,25.0
131.23123123123122,5.0,Dead,0.025,25.0
